run,sample,total_ms,clamp_ms,show_ms,corners_ms,border_ms,prepare_ms,move_ms,outer_show_ms
isolated,1,5.6375,0.0728,0.8827,0.0151,4.6669,0.0112,0.8413,0.0302
isolated,2,1.6652,0.0803,1.2283,0.0144,0.3422,0.0131,1.1877,0.0275
isolated,3,2.2062,0.056,1.8819,0.0153,0.253,0.0119,1.8446,0.0254
isolated,4,4.1421,0.855,2.9654,0.0144,0.3073,0.0153,2.9203,0.0298
isolated,5,2.4583,0.0711,2.0776,0.016,0.2936,0.0154,2.0326,0.0296
isolated,6,3.5476,0.0868,3.1794,0.015,0.2664,0.0174,3.1325,0.0295
isolated,7,4.0056,0.0824,3.1433,0.0422,0.7377,0.0121,3.0333,0.0979
isolated,8,1.4494,0.0573,1.1023,0.0115,0.2783,0.0123,1.0645,0.0255
isolated,9,1.6232,0.0645,1.3125,0.0132,0.233,0.0285,1.2536,0.0304
isolated,10,2.2775,0.0709,1.1324,0.0155,1.0587,0.0111,1.0972,0.0241
isolated,11,1.1693,0.0487,0.9141,0.0147,0.1918,0.0097,0.8818,0.0226
isolated,12,1.8599,0.0756,1.4421,0.0152,0.327,0.0126,1.4032,0.0263
isolated,13,1.2103,0.0592,0.9651,0.0225,0.1635,0.0108,0.9351,0.0192
isolated,14,1.2664,0.0633,1.0036,0.0132,0.1863,0.0125,0.9697,0.0214
isolated,15,1.9403,0.0997,1.3884,0.0328,0.4194,0.0188,1.34,0.0296
isolated,16,1.7513,0.0817,1.4879,0.0126,0.1691,0.0135,1.4504,0.024
isolated,17,1.976,0.0794,1.6955,0.0131,0.188,0.0131,1.6554,0.027
isolated,18,1.1084,0.0669,0.8284,0.0128,0.2003,0.0124,0.7934,0.0226
isolated,19,2.1853,0.5147,1.4486,0.0144,0.2076,0.0132,1.4083,0.0271
isolated,20,1.962,0.057,1.7023,0.0133,0.1894,0.0124,1.6667,0.0232
isolated,21,1.8744,0.0509,1.5982,0.0127,0.2126,0.0124,1.5626,0.0232
isolated,22,1.1332,0.097,0.8496,0.0163,0.1703,0.0157,0.8041,0.0298
isolated,23,2.0439,0.0825,1.7696,0.012,0.1798,0.0128,1.729,0.0278
isolated,24,1.5129,0.0719,1.0234,0.0162,0.4014,0.0131,0.9836,0.0267
isolated,25,1.3424,0.0696,1.0712,0.0134,0.1882,0.0129,1.0354,0.0229
isolated,26,1.8463,0.0637,1.5884,0.0127,0.1815,0.0119,1.5537,0.0228
isolated,27,1.6803,0.0681,1.3973,0.0194,0.1955,0.0138,1.3542,0.0293
isolated,28,1.3485,0.1058,1.0597,0.0136,0.1694,0.0113,1.0246,0.0238
isolated,29,1.4406,0.07,1.1725,0.0141,0.184,0.0134,1.1343,0.0248
isolated,30,1.3496,0.0716,1.0574,0.011,0.2096,0.013,1.0222,0.0222
isolated,31,1.3624,0.0659,1.0647,0.016,0.2158,0.013,1.0271,0.0246
isolated,32,1.589,0.0773,1.2861,0.0152,0.2104,0.0119,1.2486,0.0256
isolated,33,1.2062,0.1018,0.951,0.01,0.1434,0.01,0.9216,0.0194
isolated,34,1.3976,0.0498,1.1189,0.016,0.2129,0.0091,1.085,0.0248
isolated,35,1.4227,0.0892,1.1148,0.0159,0.2028,0.0161,1.0674,0.0313
isolated,36,0.9233,0.0535,0.726,0.0087,0.1351,0.0108,0.699,0.0162
isolated,37,2.3971,0.0866,2.0556,0.0167,0.2382,0.0155,2.0122,0.0279
isolated,38,2.4621,0.0741,2.1535,0.0155,0.219,0.0152,2.1133,0.025
isolated,39,0.8754,0.0459,0.6947,0.0094,0.1254,0.0097,0.6696,0.0154
isolated,40,2.6082,0.0744,2.024,0.0142,0.4956,0.0128,1.9787,0.0325
isolated,41,2.1343,0.0746,1.8119,0.0197,0.2281,0.0134,1.7689,0.0296
isolated,42,1.9828,0.0549,1.6675,0.0143,0.2461,0.0124,1.6323,0.0228
isolated,43,1.508,0.0678,1.2205,0.0153,0.2044,0.0123,1.185,0.0232
isolated,44,1.5407,0.1881,1.1948,0.0116,0.1462,0.0109,1.1635,0.0204
isolated,45,1.3747,0.0693,1.0765,0.0132,0.2157,0.0134,1.0405,0.0226
isolated,46,1.3145,0.0683,1.0513,0.0126,0.1823,0.0137,1.0152,0.0224
