run,sample,total_ms,prelude_ms,pool_ms,validation_ms,move_ms,build_return_ms,assert_hwnd_ms,recycle_prelude_ms,hide_ms,recycle_return_ms,assert_recycled_ms
1,1,0.7979,0.042,0.0324,0.009,0.52,0.055,0.0094,0.0084,0.074,0.0274,0.0203
1,2,0.6248,0.0453,0.0305,0.0078,0.4383,0.0421,0.0072,0.0079,0.0128,0.0193,0.0136
1,3,0.5039,0.0344,0.0243,0.0076,0.3478,0.0362,0.0064,0.0068,0.0118,0.0156,0.013
1,4,0.4893,0.0298,0.0242,0.0064,0.3417,0.0353,0.0067,0.0061,0.0123,0.0145,0.0123
1,5,0.6315,0.0777,0.0312,0.0086,0.4096,0.0468,0.0073,0.0074,0.0128,0.0166,0.0135
1,6,0.5161,0.03,0.0214,0.0061,0.3595,0.0448,0.0069,0.0063,0.0118,0.0166,0.0127
1,7,0.5224,0.028,0.0213,0.0063,0.3676,0.0442,0.0066,0.0062,0.012,0.0164,0.0138
1,8,0.5298,0.0269,0.0212,0.0065,0.3783,0.0439,0.0067,0.0059,0.0117,0.0157,0.013
1,9,0.5195,0.028,0.0213,0.0061,0.3696,0.0433,0.0066,0.0067,0.0112,0.0147,0.012
1,10,0.5127,0.0258,0.0192,0.0062,0.3663,0.0432,0.0065,0.0061,0.0125,0.0143,0.0126
1,11,0.545,0.0256,0.0196,0.0059,0.3893,0.0489,0.0067,0.0059,0.0119,0.017,0.0142
1,12,0.5658,0.0288,0.0214,0.0067,0.388,0.0476,0.0068,0.0069,0.027,0.0193,0.0133
1,13,0.5205,0.029,0.0229,0.0062,0.3701,0.0412,0.007,0.0064,0.011,0.0147,0.012
1,14,0.5255,0.0262,0.019,0.0063,0.3598,0.0615,0.0067,0.0057,0.012,0.0153,0.013
1,15,0.515,0.0265,0.0204,0.0064,0.3632,0.0458,0.0067,0.0061,0.0118,0.0148,0.0133
1,16,0.5322,0.0278,0.0208,0.006,0.3869,0.0407,0.0064,0.0057,0.0113,0.0142,0.0124
1,17,0.5012,0.0245,0.0187,0.0061,0.3591,0.0431,0.0061,0.0056,0.011,0.0137,0.0133
1,18,0.5464,0.0254,0.0186,0.0058,0.3956,0.0466,0.0069,0.0061,0.0118,0.0157,0.0139
1,19,0.5392,0.0276,0.0215,0.0063,0.3847,0.046,0.0065,0.0061,0.0119,0.0156,0.013
1,20,0.5131,0.0278,0.0211,0.0065,0.3665,0.0401,0.0072,0.0062,0.0107,0.014,0.013
1,21,0.6382,0.0259,0.0176,0.0057,0.4583,0.055,0.0086,0.009,0.0178,0.0215,0.0188
1,22,1.8262,0.0348,0.4401,0.0167,1.1168,0.0632,0.0575,0.0112,0.036,0.0272,0.0227
1,23,1.1831,0.0452,0.0312,0.0078,0.8616,0.0701,0.0111,0.0103,0.02,0.0261,0.0997
1,24,1.0964,0.0498,0.0414,0.0111,0.8345,0.07,0.0113,0.0097,0.0196,0.0287,0.0203
1,25,1.111,0.0445,0.0357,0.009,0.7609,0.1036,0.0153,0.0129,0.0723,0.034,0.0228
1,26,1.0732,0.048,0.0354,0.0096,0.6973,0.0756,0.012,0.0106,0.1293,0.0327,0.0227
1,27,1.2384,0.0469,0.036,0.0108,0.8733,0.1057,0.0125,0.0108,0.0911,0.0303,0.021
1,28,0.7218,0.0419,0.0322,0.008,0.5114,0.0551,0.0092,0.0082,0.0143,0.0228,0.0187
1,29,0.6543,0.0379,0.0294,0.0084,0.453,0.053,0.0086,0.0089,0.0169,0.0209,0.0173
1,30,0.6713,0.0376,0.0294,0.0073,0.4715,0.0538,0.0081,0.008,0.0152,0.0222,0.0182
1,31,0.6991,0.0423,0.0273,0.0075,0.4879,0.061,0.0097,0.0075,0.0147,0.0223,0.0189
1,32,0.787,0.039,0.0283,0.0073,0.5597,0.0654,0.0109,0.0098,0.0198,0.0258,0.021
1,33,0.8154,0.0415,0.03,0.009,0.5576,0.0577,0.0088,0.0083,0.0552,0.0271,0.0202
