run,enabled,index,total_ms,clamp_ms,show_ms,corners_ms,border_ms,total_cycles,total_kernel_ms,total_user_ms,show_cycles,show_kernel_ms,show_user_ms
1,0,1,11.438400,0.073000,2.105800,0.017400,9.242200,0,0.0,0.0,0,0.0,0.0
1,0,2,2.439900,0.089100,1.592500,0.296100,0.462200,0,0.0,0.0,0,0.0,0.0
1,0,3,1.560300,0.082500,1.238900,0.020300,0.218600,0,0.0,0.0,0,0.0,0.0
1,0,4,1.878600,0.094700,1.551700,0.023800,0.208400,0,0.0,0.0,0,0.0,0.0
1,0,5,3.593300,0.933100,1.975300,0.018800,0.666100,0,0.0,0.0,0,0.0,0.0
1,0,6,3.591300,0.069600,2.880100,0.020600,0.621000,0,0.0,0.0,0,0.0,0.0
1,0,7,2.349800,0.068300,2.061400,0.018200,0.201900,0,0.0,0.0,0,0.0,0.0
1,0,8,1.501600,0.079900,1.197200,0.018000,0.206500,0,0.0,0.0,0,0.0,0.0
1,0,9,1.941400,0.070800,1.640900,0.019700,0.210000,0,0.0,0.0,0,0.0,0.0
1,0,10,4.180200,2.622300,1.299600,0.020100,0.238200,0,0.0,0.0,0,0.0,0.0
1,0,11,1.701400,0.074600,1.400800,0.020400,0.205600,0,0.0,0.0,0,0.0,0.0
1,0,12,2.369000,0.080100,1.624000,0.019100,0.645800,0,0.0,0.0,0,0.0,0.0
1,0,13,2.034200,0.087500,1.597500,0.019000,0.330200,0,0.0,0.0,0,0.0,0.0
1,0,14,1.779700,0.076200,1.486400,0.019000,0.198100,0,0.0,0.0,0,0.0,0.0
1,0,15,1.471700,0.068600,1.198000,0.016500,0.188600,0,0.0,0.0,0,0.0,0.0
1,0,16,3.005100,0.207600,2.565800,0.022000,0.209700,0,0.0,0.0,0,0.0,0.0
1,0,17,2.679600,0.207500,2.270200,0.018200,0.183700,0,0.0,0.0,0,0.0,0.0
1,0,18,1.927300,0.086400,1.586400,0.020100,0.234400,0,0.0,0.0,0,0.0,0.0
1,0,19,4.066400,0.077400,3.623000,0.018900,0.347100,0,0.0,0.0,0,0.0,0.0
1,0,20,1.414100,0.058900,1.168200,0.015400,0.171600,0,0.0,0.0,0,0.0,0.0
1,0,21,1.852700,0.072000,1.566700,0.024000,0.190000,0,0.0,0.0,0,0.0,0.0
1,0,22,1.244800,0.062200,1.002200,0.014100,0.166300,0,0.0,0.0,0,0.0,0.0
1,0,23,1.302100,0.060600,1.047600,0.014600,0.179300,0,0.0,0.0,0,0.0,0.0
1,0,24,1.279300,0.075600,0.977200,0.023200,0.203300,0,0.0,0.0,0,0.0,0.0
1,0,25,1.178100,0.064000,0.922400,0.012000,0.179700,0,0.0,0.0,0,0.0,0.0
